packet_rank,grade,domain,unit,concept_id,label_ko,concept_type,confidence,evidence_depth,needs_textbook_evidence,source_ref_count,current_source_refs,required_evidence_fields,evidence_focus,extraction_status,toc_ref,learning_objective_ref,definition_ref,summary_ref,example_ref,term_explanation_ref,problem_pattern_ref,textbook_page_refs,extraction_notes
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_mis_exponent_base,밑이 다른 거듭제곱에 지수법칙을 잘못 적용하는 오류,misconception_risk,low,official_dual_source,yes,3,"curriculum_math_2022: printed p. 35; [9수02-08]; achievement_standard; 지수법칙을 이해하고 이를 이용하여 식을 간단히 하는 성취기준 | curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; teaching_note; 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함 | achievement_math_2022: 식의 계산 section; [9수02-08] achievement levels; achievement_level; 지수법칙을 이용하여 거듭제곱이나 단항식의 곱셈과 나눗셈을 하는 수준을 구분",example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_mis_polynomial_division_scope,다항식을 단항식으로 나누는 범위 혼동,misconception_risk,low,official_dual_source,yes,3,"curriculum_math_2022: printed p. 35; [9수02-10]; achievement_standard; 단항식과 다항식의 곱셈, 다항식을 단항식으로 나누는 계산을 다루는 성취기준 | curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; teaching_note; 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함 | achievement_math_2022: 식의 계산 section; [9수02-10] achievement levels; achievement_level; 단항식과 다항식의 곱셈, 다항식과 단항식의 나눗셈 원리 이해와 계산 수행 수준을 구분",example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_mis_polynomial_like_terms,다항식에서 동류항 처리를 누락하는 오류,misconception_risk,low,official_dual_source,yes,2,curriculum_math_2022: printed p. 35; [9수02-09]; achievement_standard; 다항식의 덧셈과 뺄셈 원리를 이해하고 계산하는 성취기준 | achievement_math_2022: 식의 계산 section; [9수02-09] achievement levels; achievement_level; 다항식의 덧셈과 뺄셈 원리 이해와 계산 수행 수준을 구분,example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_mis_polynomial_subtraction_sign,다항식 뺄셈에서 괄호 앞 음수를 분배하지 않는 오류,misconception_risk,low,official_dual_source,yes,4,"curriculum_math_2022: printed p. 35; [9수02-09]; achievement_standard; 다항식의 덧셈과 뺄셈 원리를 이해하고 계산하는 성취기준 | achievement_math_2022: 식의 계산 section; [9수02-09] achievement levels; achievement_level; 다항식의 덧셈과 뺄셈 원리 이해와 계산 수행 수준을 구분 | curriculum_math_2022: printed p. 33; [9수01-05]; achievement_standard; 정수와 유리수의 사칙계산 원리를 이해하고 계산하는 성취기준 | achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels; achievement_level; 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분",example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_calc_arithmetic_to_polynomial_extension,수의 사칙연산에서 다항식 계산으로의 확장,property,medium,official_single_source,yes,1,"curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; teaching_note; 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함",definition_ref;summary_ref;textbook_page_refs,Find textbook statement of the property and any summary box.,pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_calc_unit,식의 계산,core_concept,high,official_single_source,yes,3,"curriculum_math_2022: printed p. 35; [9수02-08]; achievement_standard; 지수법칙을 이해하고 이를 이용하여 식을 간단히 하는 성취기준 | curriculum_math_2022: printed p. 35; [9수02-09]; achievement_standard; 다항식의 덧셈과 뺄셈 원리를 이해하고 계산하는 성취기준 | curriculum_math_2022: printed p. 35; [9수02-10]; achievement_standard; 단항식과 다항식의 곱셈, 다항식을 단항식으로 나누는 계산을 다루는 성취기준",definition_ref;summary_ref;textbook_page_refs,"Find textbook definition, summary, and page reference.",pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_calc_apply_exponent_laws_to_monomials,지수법칙을 단항식 계산에 적용하기,procedure,high,official_dual_source,yes,3,"curriculum_math_2022: printed p. 35; [9수02-08]; achievement_standard; 지수법칙을 이해하고 이를 이용하여 식을 간단히 하는 성취기준 | curriculum_math_2022: printed pp. 35-36; achievement-standard explanation and considerations; teaching_note; 지수법칙은 자연수 지수 범위에서 단항식의 곱셈과 나눗셈에 필요한 정도로 다루고, 수의 사칙연산과 소인수분해가 다항식으로 확장될 수 있음을 인식하게 함 | achievement_math_2022: 식의 계산 section; [9수02-08] achievement levels; achievement_level; 지수법칙을 이용하여 거듭제곱이나 단항식의 곱셈과 나눗셈을 하는 수준을 구분",summary_ref;example_ref;textbook_page_refs,Find worked example or summary that shows the procedure.,pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_calc_base,밑,term,high,official_dual_source,yes,2,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | achievement_math_2022: 식의 계산 section; [9수02-08] achievement levels; achievement_level; 지수법칙을 이용하여 거듭제곱이나 단항식의 곱셈과 나눗셈을 하는 수준을 구분",term_explanation_ref;definition_ref;textbook_page_refs,Find textbook term explanation or definition.,pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_calc_collect_like_terms_polynomial,다항식에서 동류항 모으기,procedure,high,official_dual_source,yes,3,"curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; term_list; 대입, 다항식, 항, 단항식, 상수항, 계수, 차수, 일차식, 동류항, 등식, 방정식, 미지수, 해, 근, 항등식, 이항, 일차방정식, 변수, 좌표, 그래프, 인수, 인수분해, 완전제곱식, 이차방정식, 중근, 근의 공식, 이차함수, 포물선, 축, 꼭짓점, 최댓값, 최솟값 등을 다룸 | curriculum_math_2022: printed p. 35; [9수02-09]; achievement_standard; 다항식의 덧셈과 뺄셈 원리를 이해하고 계산하는 성취기준 | achievement_math_2022: 식의 계산 section; [9수02-09] achievement levels; achievement_level; 다항식의 덧셈과 뺄셈 원리 이해와 계산 수행 수준을 구분",summary_ref;example_ref;textbook_page_refs,Find worked example or summary that shows the procedure.,pending_textbook_pdf,,,,,,,,,
13,중1(교육과정 학년군: 중1-3),변화와 관계,식의 계산,m1_calc_expansion,전개,procedure,medium,official_dual_source,yes,3,"curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; term_list; 대입, 다항식, 항, 단항식, 상수항, 계수, 차수, 일차식, 동류항, 등식, 방정식, 미지수, 해, 근, 항등식, 이항, 일차방정식, 변수, 좌표, 그래프, 인수, 인수분해, 완전제곱식, 이차방정식, 중근, 근의 공식, 이차함수, 포물선, 축, 꼭짓점, 최댓값, 최솟값 등을 다룸 | curriculum_math_2022: printed p. 36; terms usable in teaching and learning situations; instructional_term_list; 식의 값, 좌변, 우변, 양변, 이차식, 전개식, 연립일차방정식, 소거, 가감법, 대입법, 함수의 그래프 등은 교수·학습 상황에서 사용할 수 있음 | achievement_math_2022: 식의 계산 section; [9수02-10] achievement levels; achievement_level; 단항식과 다항식의 곱셈, 다항식과 단항식의 나눗셈 원리 이해와 계산 수행 수준을 구분",summary_ref;example_ref;textbook_page_refs,Find worked example or summary that shows the procedure.,pending_textbook_pdf,,,,,,,,,
