packet_rank,grade,domain,unit,concept_id,label_ko,concept_type,confidence,evidence_depth,needs_textbook_evidence,source_ref_count,current_source_refs,required_evidence_fields,evidence_focus,extraction_status,toc_ref,learning_objective_ref,definition_ref,summary_ref,example_ref,term_explanation_ref,problem_pattern_ref,textbook_page_refs,extraction_notes
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_geo_orthographic_drawing,겨냥도,representation,low,official_single_source,yes,1,achievement_research_report_2022: 연구보고서 p. 173; 직육면체와 정육면체 성취기준별 성취수준; research_report_achievement_level_context; 직육면체와 정육면체의 겨냥도와 전개도를 그리고 전개도가 될 수 있는 것과 될 수 없는 것을 구별하는 성취수준 맥락,definition_ref;example_ref;textbook_page_refs;extraction_notes,"Find textbook diagram, table, graph, expression, or worked example.",pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_mis_complex_area_volume_scope,지나치게 복잡한 넓이·부피 변형 문제 범위 혼동,misconception_risk,low,official_single_source,yes,1,"curriculum_math_2022: printed p. 39; achievement-standard considerations; teaching_note; 삼각비 사이의 관계는 다루지 않고, 삼각비 값은 0도에서 90도까지의 각도만 다루며, 원과 비례에 관한 성질과 지나치게 복잡한 넓이·둘레·겉넓이·부피 문제는 다루지 않음",example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_mis_solid_net_adjacency,전개도에서 붙는 면의 이웃 관계를 잘못 판단하는 오류,misconception_risk,low,official_single_source,yes,2,achievement_research_report_2022: 연구보고서 p. 173; 직육면체와 정육면체 성취기준별 성취수준; research_report_achievement_level_context; 직육면체와 정육면체의 겨냥도와 전개도를 그리고 전개도가 될 수 있는 것과 될 수 없는 것을 구별하는 성취수준 맥락 | achievement_research_report_2022: 연구보고서 p. 174; 각기둥과 원기둥 전개도 성취기준별 성취수준; research_report_achievement_level_context; 각기둥과 원기둥의 전개도를 그리고 전개도가 될 수 있는 것과 될 수 없는 것을 구별하는 성취수준 맥락,example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_mis_surface_area_volume,겉넓이와 부피를 같은 측정량으로 보는 오류,misconception_risk,low,official_dual_source,yes,2,curriculum_math_2022: printed p. 38; [9수03-08]; achievement_standard; 입체도형의 겉넓이와 부피를 구하는 성취기준 | achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels; achievement_level; 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분,example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_geo_convex_polyhedron_scope,볼록한 다면체 범위,property,high,official_single_source,yes,1,"curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations; teaching_note; 다각형의 내각·외각·대각선을 탐구해 성질을 일반화하고, 다각형과 다면체는 볼록인 경우만 다루며 회전체 단면은 성질 이해에 필요한 정도로 다룸",definition_ref;summary_ref;textbook_page_refs,Find textbook statement of the property and any summary box.,pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_geo_axis_of_rotation,회전축,term,high,official_dual_source,yes,3,"curriculum_math_2022: printed pp. 38-39; terms and symbols for 도형과 측정; term_list; 교점, 교선, 두 점 사이의 거리, 중점, 수직이등분선, 꼬인 위치, 교각, 맞꼭지각, 엇각, 동위각, 평각, 직교, 수선의 발, 작도, 대변, 대각, 삼각형의 합동 조건, 내각, 외각, 부채꼴, 중심각, 호, 현, 활꼴, 할선, 다면체, 각뿔대, 정다면체, 회전체, 회전축, 원뿔대, 증명, 접선, 접점, 접한다, 외심, 외접, 외접원, 내심, 내접, 내접원, 중선, 무게중심, 닮음, 닮음비, 삼각형의 닮음 조건, 피타고라스 정리, 삼각비, 사인, 코사인, 탄젠트, 원주각 등을 다룸 | curriculum_math_2022: printed p. 38; [9수03-07]; achievement_standard; 모형이나 공학 도구로 다면체와 회전체의 성질을 탐구하고 설명하는 성취기준 | achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels; achievement_level; 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분",term_explanation_ref;definition_ref;textbook_page_refs,Find textbook term explanation or definition.,pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_geo_frustum_cone,원뿔대,term,high,official_dual_source,yes,3,"curriculum_math_2022: printed pp. 38-39; terms and symbols for 도형과 측정; term_list; 교점, 교선, 두 점 사이의 거리, 중점, 수직이등분선, 꼬인 위치, 교각, 맞꼭지각, 엇각, 동위각, 평각, 직교, 수선의 발, 작도, 대변, 대각, 삼각형의 합동 조건, 내각, 외각, 부채꼴, 중심각, 호, 현, 활꼴, 할선, 다면체, 각뿔대, 정다면체, 회전체, 회전축, 원뿔대, 증명, 접선, 접점, 접한다, 외심, 외접, 외접원, 내심, 내접, 내접원, 중선, 무게중심, 닮음, 닮음비, 삼각형의 닮음 조건, 피타고라스 정리, 삼각비, 사인, 코사인, 탄젠트, 원주각 등을 다룸 | curriculum_math_2022: printed p. 38; [9수03-07]; achievement_standard; 모형이나 공학 도구로 다면체와 회전체의 성질을 탐구하고 설명하는 성취기준 | achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels; achievement_level; 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분",term_explanation_ref;definition_ref;textbook_page_refs,Find textbook term explanation or definition.,pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_geo_frustum_pyramid,각뿔대,term,high,official_dual_source,yes,3,"curriculum_math_2022: printed pp. 38-39; terms and symbols for 도형과 측정; term_list; 교점, 교선, 두 점 사이의 거리, 중점, 수직이등분선, 꼬인 위치, 교각, 맞꼭지각, 엇각, 동위각, 평각, 직교, 수선의 발, 작도, 대변, 대각, 삼각형의 합동 조건, 내각, 외각, 부채꼴, 중심각, 호, 현, 활꼴, 할선, 다면체, 각뿔대, 정다면체, 회전체, 회전축, 원뿔대, 증명, 접선, 접점, 접한다, 외심, 외접, 외접원, 내심, 내접, 내접원, 중선, 무게중심, 닮음, 닮음비, 삼각형의 닮음 조건, 피타고라스 정리, 삼각비, 사인, 코사인, 탄젠트, 원주각 등을 다룸 | curriculum_math_2022: printed p. 38; [9수03-07]; achievement_standard; 모형이나 공학 도구로 다면체와 회전체의 성질을 탐구하고 설명하는 성취기준 | achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels; achievement_level; 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분",term_explanation_ref;definition_ref;textbook_page_refs,Find textbook term explanation or definition.,pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_geo_model_tool_solid,모형과 공학 도구로 입체도형 탐구,procedure,high,official_dual_source,yes,3,"curriculum_math_2022: printed p. 38; [9수03-07]; achievement_standard; 모형이나 공학 도구로 다면체와 회전체의 성질을 탐구하고 설명하는 성취기준 | curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations; teaching_note; 다각형의 내각·외각·대각선을 탐구해 성질을 일반화하고, 다각형과 다면체는 볼록인 경우만 다루며 회전체 단면은 성질 이해에 필요한 정도로 다룸 | achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels; achievement_level; 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분",summary_ref;example_ref;textbook_page_refs,Find worked example or summary that shows the procedure.,pending_textbook_pdf,,,,,,,,,
11,중1(교육과정 학년군: 중1-3),도형과 측정,입체도형의 성질,m1_geo_net_surface_area_strategy,전개도로 겉넓이 구하기,procedure,medium,official_dual_source,yes,3,"curriculum_math_2022: printed pp. 38-39; [9수03-05], [9수03-07] explanation and considerations; teaching_note; 다각형의 내각·외각·대각선을 탐구해 성질을 일반화하고, 다각형과 다면체는 볼록인 경우만 다루며 회전체 단면은 성질 이해에 필요한 정도로 다룸 | curriculum_math_2022: printed p. 38; [9수03-08]; achievement_standard; 입체도형의 겉넓이와 부피를 구하는 성취기준 | achievement_math_2022: 입체도형의 성질 section; [9수03-07]~[9수03-08] achievement levels; achievement_level; 다면체와 회전체의 성질을 모형이나 공학 도구로 탐구하고 입체도형의 겉넓이와 부피를 구하는 수준을 구분",summary_ref;example_ref;textbook_page_refs,Find worked example or summary that shows the procedure.,pending_textbook_pdf,,,,,,,,,
